time_elapsed,ball_detected,ball_x,ball_y,ball_width,joystick_x,joystick_y,RT_intensity,LT_intensity,btn_X,btn_A,btn_B,reset,end
0.8086142539978027,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
1.2196712493896484,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
1.6332979202270508,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
2.041661024093628,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
2.4212257862091064,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
2.8035061359405518,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
3.1843936443328857,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
3.5645432472229004,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
3.944783926010132,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
4.331457138061523,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
4.711219549179077,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
5.094572305679321,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
5.479000568389893,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
5.852568626403809,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
6.22315526008606,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
6.608614444732666,False,-1,-1,-1,0,0,0,0,0,0,0,0,0
6.978987455368042,True,470.3166961669922,315.14614820480347,24.0399169921875,0,0,0,0,0,0,0,0,0
7.3635640144348145,True,470.3166961669922,315.14614820480347,24.0399169921875,0,0,0,0,0,0,0,0,0
7.743128776550293,True,469.4319248199463,341.7710530757904,26.287450790405273,0,0,0,0,0,0,0,0,0
8.122020721435547,True,469.4319248199463,341.7710530757904,26.287450790405273,0,0,0.95703125,0,0,0,0,0,0
8.504935264587402,True,469.4319248199463,341.7710530757904,26.287450790405273,0,0,0.99609375,0,0,0,0,0,0
8.906547546386719,True,469.4319248199463,341.7710530757904,26.287450790405273,0,0,0.99609375,0,0,0,0,0,0
9.28947901725769,True,469.4319248199463,341.7710530757904,26.287450790405273,0,0,0.99609375,0,0,0,0,0,0
9.673841714859009,True,469.4319248199463,341.7710530757904,26.287450790405273,0.921539306640625,0,0.99609375,0,0,0,0,0,0
